Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
84,PR05-14-20-004,PAPER GUIDE TOP PART,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 1020,BLUE POWDER COAT,2037.65,1,0.01,0.04,Unit,4
85,PR05-14-20-005,PAPER GUIDE TOP PART,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 1020,BLUE POWDER COAT,2240.94,1,0.01,0.02,Unit,2
86,CS04-23-027SM_R1,CUTOUT-RIB,"CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS), CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS)",AISI 1020,BLUE POWDER COAT,13687.27,1,0.05,0.6,Unit,12
87,,,,,,,,,,,
88,DD01-04-38-011,MECHANICAL SWITCH KEEPER,"DD01-04-38-000SA_R3] FRAME RIGHT SIDE DOOR, DD01-04-39-000SA_R3] FRAME LEFT SIDE DOOR",AISI 1020,IVORY POWDER COAT,2880.9,1.2,0.01,0.04,Unit,4
89,CS04-23-013SM,CSR WIRE ROUTING COVER,CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,169040.34,1.2,0.79,6.32,Unit,8
90,CS04-28-013SM,CSR WIRE ROUTING COVER,CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,231851.31,1.2,1.09,4.36,Unit,4
91,CS04-26-007SM,CSR HARNESS EXT. COVER,CS04-26-000SA_R2] 2 SMALL CANISTER CSR + 1 BIG CANISTER CSR + BASE + JB + CAGE HANDLE,AISI 1020,POWDER COATING,218035.2,1.2,1.02,4.08,Unit,4
92,DR02-04-03-030_R6,CANISTER SLIDE - LEFT,"DR02-04-03-000SA_R1] CANISTER SLIDE-LEFT, DR02-04-11-000SA_R1] CANISTER SLIDE-LEFT",AISI 1020,Powder Coating,263498.04,1.2,1.22,85.4,Unit,70
93,DR02-04-04-011_R6,CANISTER SLIDE - RIGHT,"DR02-04-04-000SA_R1] CANISTER SLIDE-RIGHT, DR02-04-12-000SA_R1] CANISTER SLIDE-RIGHT",AISI 1020,POWDER COATING,262829,1.2,1.21,84.7,Unit,70
94,MD01-02-10-001,MFD CANISTER SLIDE - RIGHT,MD01-02-10-000SA] MFD CANISTER BUCKET RIGHT,AISI 1020,POWDER COATING,228897.81,1.2,1.06,10.6,Unit,10
95,MD01-02-08-001,MFD CANISTER SLIDE - LEFT,MD01-02-08-000SA] MFD CANISTER BUCKET LEFT,AISI 1020,POWDER COATING,228797.01,1.2,1.06,10.6,Unit,10
96,MD01-02-10-005,MFD DRAWER SLIDER FRONT WELDING,MD01-02-10-000SA] MFD CANISTER BUCKET RIGHT,AISI 1020,POWDER COATING,24736.13,1.2,0.11,1.1,Unit,10
97,MD01-02-08-005,MFD DRAWER SLIDER FRONT WELDING,MD01-02-08-000SA] MFD CANISTER BUCKET LEFT,AISI 1020,POWDER COATING,24731.8,1.2,0.11,1.1,Unit,10
98,,,,,,,,,,,
99,DR02-04-02-012_R3,LONG VERTICAL SUPPORT,DR02-04-02-000SA_R3] DRAWER MAIN CASING,AISI 1020,POWDER COATING,131782.93,1.5,0.76,76,Unit,100
100,DR02-04-18-002_R1,FRONT PANEL CONNECTING PLATE,DR02-04-18-000SA] DRAWER FRONT PANEL,AISI 1020,POWDER COATING,54230.7,1.5,0.31,15.5,Unit,50
101,DR02-04-19-002_R1,FRONT PANEL CONNECTING PLATE,DR02-04-19-000SA] DRAWER FRONT PANEL,AISI 1020,POWDER COATING,54230.7,1.5,0.31,15.5,Unit,50
102,DR02-04-16-013_R3,EM LOCK KEEPER CLAMP,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",AISI 1020,POWDER COATING,7812.82,1.5,0.06,3.8,Unit,70
103,DR02-04-06-004_R2,LONG VERTICAL SUPPORT,DR02-04-06-000SA_R1] DRAWER MAIN CASING,AISI 1020,POWDER COATING,184485.76,1.5,1.07,42.8,Unit,40
104,DR02-04-20-002,FRONT PANEL CONNECTING PLATE,DR02-04-20-000SA] DRAWER FRONT PANEL,AISI 1020,POWDER COATING,54230.7,1.5,0.4,8,Unit,20
105,DR02-04-21-002,FRONT PANEL CONNECTING PLATE,DR02-04-21-000SA] DRAWER FRONT PANEL,AISI 1020,POWDER COATING,54230.7,1.5,0.4,8,Unit,20
106,MD01-02-01-004_R2,LONG VERTICAL SUPPORT,MD01-02-01-000SA_R1] MFD MAIN CASING,AISI 1020,POWDER COATING,85235.95,1.5,0.49,9.8,Unit,20
107,MD01-02-09-002,FRONT PANEL CONNECTING PLATE,MD01-02-09-000SA] DRAWER FRONT PANEL-RIGHT,AISI 1020,POWDER COATING,38496.23,1.5,0.21,2.1,Unit,10
108,MD01-02-07-002,FRONT PANEL CONNECTING PLATE,MD01-02-07-000SA] DRAWER FRONT PANEL-LEFT,AISI 1020,POWDER COATING,38496.23,1.5,0.21,2.1,Unit,10
109,DD01-01-31-015,Structure Supporting Member 5,DD01-04-31-000SA] MAIN FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,154351.68,1.5,0.9,3.6,Unit,4
110,DD01-03-34-011,FRONT GUARD COVER 2,DD01-04-34-000SA] SLIDING DOOR,AISI 1020,IVORY POWDER COAT,227054.16,1.5,1.32,2.64,Unit,2
111,DD01-04-34-001,BACK COVER SUPPORT TOP,DD01-04-34-000SA] SLIDING DOOR,AISI 1020,IVORY POWDER COAT,326828.11,1.5,1.87,3.74,Unit,2
112,DD01-04-34-010,FRONT GUARD COVER 1,DD01-04-34-000SA] SLIDING DOOR,AISI 1020,IVORY POWDER COAT,503713.58,1.5,2.96,5.92,Unit,2
113,DD01-04-38-007_R2,GLASS RETAINER,DD01-04-38-000SA_R3] FRAME RIGHT SIDE DOOR,AISI 1020,IVORY POWDER COAT,218886.57,1.5,1.25,2.5,Unit,2
114,DD01-04-39-007_R2,GLASS RETAINER,DD01-04-39-000SA_R3] FRAME LEFT SIDE DOOR,AISI 1020,IVORY POWDER COAT,218647.57,1.5,1.25,2.5,Unit,2
115,DD01-04-30-064_R1,SMPS MOUNTING PLATE 1,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,21796.2,1.5,0.12,0.24,Unit,2
116,DD01-04-30-072,METAL WIRE DUCT-3,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,BLUE POWDER COAT,65151.17,1.5,0.37,0.74,Unit,2
117,DD01-03-30-051_R1,METAL WIRE DUCT COVER-3,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,BLUE POWDER COAT,30747.12,1.5,0.17,1.36,Unit,8
118,DD01-04-30-044,STRUCTURE SUPPORTING MEMBER 4,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,99091.93,1.5,0.56,2.24,Unit,4
119,DD01-03-30-043,MEMBER-4 DUCT COVER,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,95517.9,1.5,0.54,1.08,Unit,2
120,DD01-03-30-050_R1,METAL WIRE DUCT-3,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,BLUE POWDER COAT,80495.17,1.5,0.46,2.76,Unit,6
121,DD01-04-30-046,WIRE-DUCT-L-1,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,BLUE POWDER COAT,84305.76,1.5,0.48,0.96,Unit,2
122,CV05-41-00-001,TRACK MOUNTING PLATE,CV05-65-00-000MA] CV TABLE,AISI 1020,BLUE POWDER COAT,287613.25,1.5,1.69,20.28,Unit,12
123,CV05-65-00-001,CV table front cover,CV05-65-00-000MA] CV TABLE,AISI 1020,IVORY POWDER COAT,649435.34,1.5,3.82,15.28,Unit,4
124,PR05-15-09-006,SENSOR CLAMP,PR05-15-09-000SA] ROLLER ASSEMBLY,AISI 1020,BLUE POWDER COAT,5387.91,1.5,0.03,0.06,Unit,2
125,PR05-15-15-001,REJECTION COVER,PR05-15-15-000SA] REJECTION MECHANISM,AISI 1020,BLUE POWDER COAT,31655.57,1.5,0.18,0.36,Unit,2
126,PR05-12-06-002,LED STRIP HOLDING CLAMP,PR05-15-05-000SA] PRINTER BASE ASSEMBLY,AISI 1020,BlUE POWDER COATING,25888.28,1.5,0.15,0.6,Unit,4
127,PR05-15-20-008_R1,MAGNET COVER CLAMP,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 1020,BLUE POWDER COAT,30317.18,1.5,0.17,0.34,Unit,2
128,PR05-14-23-004,LOCKING CLAMP,PR05-16-23-000SA] CAMERA ASSEMBLY,AISI 1020,BLUE POWDER COAT,12726.37,1.5,0.07,0.14,Unit,2
129,PR05-12-08-001_R1,JUNCTION BOX CONNECTOR PLATE,PR05-15-08-000SA] JUNCTION BOX,AISI 1020,BLUE POWDER COAT,61062.85,1.5,0.34,0.68,Unit,2
130,PR05-14-08-003,JUNCTION BOX MOUNTING PLATE,PR05-15-08-000SA] JUNCTION BOX,AISI 1020,ZINC COATING,266547.75,1.5,1.54,3.08,Unit,2
131,PR05-15-08-009,JUNCTION BOX TOP COVER,PR05-15-08-000SA] JUNCTION BOX,AISI 1020,BLUE POWDER COAT,220384.51,1.5,1.29,2.58,Unit,2
132,PR05-15-08-002,JUNCTION BOX TOP COVER-2,PR05-15-08-000SA] JUNCTION BOX,AISI 1020,BLUE POWDER COAT,73556.05,1.5,0.43,0.86,Unit,2
